,postcode,locality,Long_precise,Lat_precise,distance,duration
6497,3132,MITCHAM,145.1983055,-37.8219905,125742.9,6014.6
6498,3132,MITCHAM NORTH,145.1892556,-37.8043443,128207.9,6077.3
6499,3132,RANGEVIEW,145.2004016,-37.8043293,128376.8,6269.4
6500,3133,VERMONT,145.198,-37.838,123511.5,5736.2
6501,3133,VERMONT SOUTH,145.183373,-37.8565882,122345.3,5766.9
6502,3134,HEATHWOOD,145.228,-37.8292,124261.1,5789.3
6503,3134,RINGWOOD,145.2307011,-37.8106372,126483.6,5859.5
6504,3134,RINGWOOD NORTH,145.226877,-37.799883,127643.5,6006.3
6505,3134,WARRANDYTE SOUTH,145.2452567,-37.7605268,132479.5,6496.3
6506,3134,WARRANWOOD,145.249,-37.777,130795.6,6267.0
6507,3135,BEDFORD ROAD,145.2439204,-37.8193028,127229.1,5992.5
6508,3135,HEATHMONT,145.242,-37.83,125267.7,5912.7
6509,3135,RINGWOOD EAST,145.252,-37.818,127792.8,6111.8
6510,3136,CROYDON,145.2815432,-37.794384,131838.6,6407.5
6511,3136,CROYDON HILLS,145.266,-37.775,132651.1,6537.7
6512,3136,CROYDON NORTH,145.287,-37.767,135138.4,6618.6
6513,3136,CROYDON SOUTH,145.271,-37.814,129209.0,6223.8
6514,3137,KILSYTH,145.316,-37.802,133427.8,6597.5
6515,3137,KILSYTH SOUTH,145.3115843,-37.8296238,133488.8,6622.8
6516,3138,MOOROOLBARK,145.3309395,-37.7822365,136911.9,6851.3
6517,3139,BEENAK,145.6090481,-37.8986154,Unknown,Unknown
6518,3139,DON VALLEY,145.584444,-37.761389,129904.0,6913.1
6519,3139,HODDLES CREEK,145.583,-37.833,120218.8,6310.5
6520,3139,LAUNCHING PLACE,145.588,-37.774,128043.3,6742.6
6521,3139,SEVILLE,145.461,-37.777,122393.4,6527.5
6522,3139,SEVILLE EAST,145.491,-37.774,125310.8,6720.5
6523,3139,WANDIN EAST,145.453,-37.811,122872.2,6556.3
6524,3139,WANDIN NORTH,145.411,-37.769,127101.7,6961.3
6525,3139,WOORI YALLOCK,145.528,-37.778,121483.6,6487.8
6526,3139,YELLINGBO,145.51,-37.81,116002.2,6147.2
6527,3140,LILYDALE,145.3475331,-37.7643547,140347.6,7083.3
6528,3141,CHAPEL STREET NORTH,144.9951571,-37.8417659,133961.9,6490.0
6529,3141,DOMAIN ROAD PO,144.983,-37.8344,136970.1,6605.9
6530,3141,SOUTH YARRA,144.9914761,-37.838568,134132.3,6517.7
6531,3142,HAWKSBURN,145.0022549,-37.8447415,133487.8,6433.2
6532,3142,TOORAK,145.0190242,-37.8432402,131789.6,6242.7
